feature_station_21006847_vst_raw,feature_station_21006845_vst_raw,vst_raw,feature_station_21006845_rainfall,temperature,feature_station_21006847_rainfall,rainfall,vst_raw_cleaned,is_anomaly
701.53,2151.62,1134.16,0.0,1.7,0.0,0.0,1134.16,False
701.22,2146.23,1133.28,0.0,1.7,0.0,0.0,1133.28,False
700.62,2151.75,1136.85,0.0,1.7,0.3,0.0,1136.85,False
698.85,2150.73,1132.47,0.0,1.7,0.3,0.0,1132.47,False
700.32,2146.92,1131.84,0.0,1.7,0.3,0.0,1131.84,False
699.46,2152.83,1136.4,0.0,1.7,0.3,0.0,1136.4,False
699.68,2149.93,1135.93,0.0,1.7,0.0,0.0,1135.93,False
699.24,2153.78,1133.45,0.0,1.7,0.0,0.0,1133.45,False
703.13,2152.94,1132.79,0.0,1.7,0.0,0.0,1132.79,False
701.63,2154.54,1133.26,0.0,1.7,0.0,0.0,1133.26,False
699.2,2155.75,1128.51,0.0,1.7,0.0,0.0,1128.51,False
701.82,2145.41,1131.28,0.0,1.7,0.0,0.0,1131.28,False
701.13,2148.28,1130.49,0.0,1.7,0.0,0.0,1130.49,False
701.17,2151.56,1135.63,0.0,1.7,0.0,0.0,1135.63,False
699.27,2157.26,1134.9,0.0,1.7,0.0,0.0,1134.9,False
702.28,2159.66,1134.94,0.0,1.7,0.0,0.0,1134.94,False
697.89,2154.76,1127.37,0.0,1.7,0.0,0.0,1127.37,False
697.26,2156.81,1130.66,0.0,1.7,0.0,0.0,1130.66,False
701.51,2157.64,1133.67,0.0,1.7,0.0,0.0,1133.67,False
700.08,2154.68,1129.83,0.0,1.7,0.0,0.0,1129.83,False
696.83,2156.85,1131.18,0.0,1.7,0.0,0.0,1131.18,False
701.52,2153.14,1134.18,0.0,1.7,0.0,0.0,1134.18,False
703.27,2157.54,1131.26,0.0,1.7,0.0,0.0,1131.26,False
699.43,2157.82,1130.71,0.0,1.7,0.0,0.0,1130.71,False
702.01,2157.87,1135.69,0.0,1.7,0.0,0.0,1135.69,False
700.77,2161.02,1128.32,0.0,1.7,0.0,0.0,1128.32,False
698.54,2158.7,1129.21,0.0,1.7,0.0,0.0,1129.21,False
701.11,2160.28,1132.87,0.0,1.7,0.0,0.0,1132.87,False
699.47,2156.6,1135.69,0.0,1.7,0.0,0.0,1135.69,False
698.73,2157.38,1137.32,0.0,1.7,0.0,0.0,1137.32,False
701.81,2158.14,1136.24,0.0,1.7,0.0,0.0,1136.24,False
698.95,2155.09,1133.64,0.0,1.7,0.0,0.0,1133.64,False
700.15,2156.65,1136.74,0.0,1.7,0.0,0.0,1136.74,False
697.58,2156.2,1140.09,0.0,1.7,0.0,0.0,1140.09,False
701.1,2162.38,1143.6,0.0,1.7,0.0,0.0,1143.6,False
698.7,2159.81,1140.15,0.0,1.7,0.0,0.0,1140.15,False
699.46,2160.88,1139.83,0.0,1.7,0.0,0.0,1139.83,False
700.06,2154.86,1141.01,0.0,1.7,0.0,0.0,1141.01,False
698.19,2160.46,1141.82,0.0,1.7,0.0,0.0,1141.82,False
699.88,2163.76,1144.55,0.0,1.7,0.0,0.0,1144.55,False
700.71,2157.85,1145.1,0.0,1.7,0.0,0.0,1145.1,False
698.07,2156.07,1146.44,0.0,1.7,0.0,0.0,1146.44,False
698.47,2162.77,1145.6,0.0,1.7,0.0,0.0,1145.6,False
697.7,2164.69,1145.08,0.0,1.7,0.0,0.0,1145.08,False
699.75,2157.57,1144.81,0.0,1.7,0.0,0.0,1144.81,False
701.09,2156.13,1149.74,0.0,1.7,0.0,0.0,1149.74,False
698.26,2163.12,1148.12,0.0,1.7,0.0,0.0,1148.12,False
698.78,2161.67,1148.88,0.0,1.7,0.0,0.0,1148.88,False
699.81,2157.3,1151.01,0.0,1.7,0.0,0.0,1151.01,False
697.7,2164.16,1149.37,0.0,1.7,0.0,0.0,1149.37,False
699.54,2154.88,1147.06,0.0,1.7,0.0,0.0,1147.06,False
698.11,2161.17,1146.63,0.0,1.7,0.0,0.0,1146.63,False
